@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureOutOfBagError numeric
@attribute measureNumAttributesSelected numeric
@attribute measureSelectionTime numeric
@attribute measureTime numeric

@data

R_data_frame,3,4,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20211022.1812,2421,269,267,2,0,99.256506,0.743494,0,0.990074,0.014349,0.056998,4.792062,14.726307,578.858862,16.253741,562.605122,2.151892,0.060423,2.091469,562.605122,2.091469,97.192106,1,34,0,0,1,235,0,0,1,1,1,1,1,1,0.992565,0.00104,0.99896,0.007435,0.992565,0.992565,0.992565,0.991525,0.999968,0.999781,0.987868,0.992565,0.283,0.003,0.28125,0,281.25,0,935269,207196,24276,100,23.345725,?,-1,?,?,?
R_data_frame,3,5,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20211022.1812,2421,269,269,0,0,100,0,0,1,0.011822,0.04134,3.947865,10.680823,578.858862,12.554573,566.304289,2.151892,0.046671,2.10522,566.304289,2.10522,97.831151,1,34,0,0,1,235,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.268,0.003,0.265625,0,265.625,0,916319,207196,24276,100,23.94052,?,-1,?,?,?
R_data_frame,3,6,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20211022.1812,2421,269,268,1,0,99.628253,0.371747,0,0.995037,0.013323,0.05305,4.449417,13.706212,578.858862,14.802524,564.056338,2.151892,0.055028,2.096864,564.056338,2.096864,97.442809,1,34,0,0,1,235,0,0,1,1,1,1,1,1,0.996283,0.000538,0.999462,0.003717,0.996389,0.996283,0.99628,0.995796,1,1,0.993927,0.996283,0.277,0.003,0.28125,0,281.25,0,898662,207196,24276,100,23.271375,?,-1,?,?,?
R_data_frame,3,7,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20211022.1812,2421,269,268,1,0,99.628253,0.371747,0,0.995027,0.015494,0.059067,5.177327,15.270482,578.270355,17.732463,560.537892,2.149704,0.06592,2.083784,560.537892,2.083784,96.933534,1,34,0,0,1,235,0,0,1,1,1,1,1,1,0.996283,0.001233,0.998767,0.003717,0.996337,0.996283,0.996267,0.995429,1,1,0.995344,0.996283,0.28,0.004,0.25,0,250,0,892986,207196,24276,100,24.089219,?,-1,?,?,?
R_data_frame,3,8,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20211022.1812,2421,269,267,2,0,99.256506,0.743494,0,0.990048,0.013665,0.052762,4.566184,13.64035,578.270355,15.315342,562.955012,2.149704,0.056934,2.09277,562.955012,2.09277,97.351526,1,34,0,0,1,235,0,0,1,1,1,1,1,1,0.992565,0.002466,0.997534,0.007435,0.992781,0.992565,0.9925,0.990885,0.999969,0.999771,0.990607,0.992565,0.274,0.003,0.25,0,250,0,927986,207196,24276,100,24.089219,?,-1,?,?,?
R_data_frame,3,9,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20211022.1812,2421,269,265,4,0,98.513011,1.486989,0,0.980133,0.017636,0.078641,5.892812,20.330846,578.270355,26.266513,552.003842,2.149704,0.097645,2.052059,554.013768,2.059531,95.805321,1,34,0,0,1,235,0,0,1,1,1,1,1,1,0.98513,0.002847,0.997153,0.01487,0.986089,0.98513,0.985096,0.982129,0.998914,0.992418,0.979247,0.98513,0.269,0.003,0.25,0,250,0,872353,207196,24276,99.628253,24.386617,?,-1,?,?,?
R_data_frame,3,10,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20211022.1812,2421,269,264,5,0,98.141264,1.858736,0,0.975137,0.018275,0.076654,6.106701,19.818056,578.165946,25.019221,553.146725,2.149316,0.093008,2.056308,555.439961,2.064833,96.069297,1,35,0,0,1,234,0,0,1,1,1,1,1,1,0.981413,0.005705,0.994295,0.018587,0.981754,0.981413,0.98143,0.976145,0.999247,0.998014,0.97801,0.981413,0.277,0.004,0.28125,0,281.25,0,890499,207196,24276,99.628253,24.386617,?,-1,?,?,?
R_data_frame,4,1,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20211022.1812,2421,269,269,0,0,100,0,0,1,0.014097,0.047097,4.710274,12.175918,578.270355,15.088386,563.181969,2.149704,0.056091,2.093613,563.181969,2.093613,97.390773,1,34,0,0,1,235,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.272,0.005,0.265625,0.015625,265.625,15.625,911875,207196,24276,100,24.237918,?,-1,?,?,?
R_data_frame,4,2,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20211022.1812,2421,269,269,0,0,100,0,0,1,0.015346,0.056152,5.12764,14.516766,578.270355,16.983762,561.286593,2.149704,0.063137,2.086567,561.286593,2.086567,97.063007,1,34,0,0,1,235,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.265,0.003,0.265625,0,265.625,0,900464,207196,24276,100,24.163569,?,-1,?,?,?
R_data_frame,4,3,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20211022.1812,2421,269,267,2,0,99.256506,0.743494,0,0.990062,0.013279,0.050322,4.436999,13.009731,578.270355,14.590539,563.679816,2.149704,0.05424,2.095464,563.679816,2.095464,97.476865,1,34,0,0,1,235,0,0,1,1,1,1,1,1,0.992565,0.001004,0.998996,0.007435,0.993002,0.992565,0.992565,0.991668,1,1,0.987879,0.992565,0.273,0.004,0.28125,0,281.25,0,930747,207196,24276,100,23.420074,?,-1,?,?,?
