@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureOutOfBagError numeric

@data

R_data_frame,2,10,weka.classifiers.trees.LMT,'-I -1 -M 15 -W 0.0',-1113212459618104943,20211023.1505,2421,269,269,0,0,100,0,0,1,0.000307,0.004071,0.083516,0.949611,525.12898,0.245152,524.883828,1.952152,0.000911,1.951241,524.883828,1.951241,99.953316,1,39,0,0,1,230,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,3.517,0,3.5,0,3500,0,15758,207181,24261,100,25.092937,?,9,5,?
R_data_frame,3,1,weka.classifiers.trees.LMT,'-I -1 -M 15 -W 0.0',-1113212459618104943,20211023.1505,2421,269,267,2,0,99.256506,0.743494,0,0.989888,0.003916,0.061099,1.065023,14.251281,525.12898,515.871446,9.257534,1.952152,1.917738,0.034415,520.405469,1.934593,99.100505,1,39,0,0,1,230,0,0,1,1,1,1,1,1,0.992565,0.002982,0.997018,0.007435,0.992753,0.992565,0.992564,0.989649,0.990342,0.972,0.993548,0.992565,3.658,0,3.640625,0,3640.625,0,15758,207181,24261,99.256506,25.092937,?,9,5,?
R_data_frame,3,2,weka.classifiers.trees.LMT,'-I -1 -M 15 -W 0.0',-1113212459618104943,20211023.1505,2421,269,269,0,0,100,0,0,1,0.000065,0.000484,0.017566,0.112905,525.12898,0.050221,525.078759,1.952152,0.000187,1.951966,525.078759,1.951966,99.990436,1,39,0,0,1,230,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,3.558,0,3.546875,0,3546.875,0,15758,207181,24261,100,25,?,9,5,?
R_data_frame,3,3,weka.classifiers.trees.LMT,'-I -1 -M 15 -W 0.0',-1113212459618104943,20211023.1505,2421,269,269,0,0,100,0,0,1,0.009959,0.026697,2.70855,6.227112,525.12898,8.031662,517.097318,1.952152,0.029857,1.922295,517.097318,1.922295,98.470535,1,39,0,0,1,230,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,3.609,0,3.609375,0,3609.375,0,9239,207181,24261,100,27.695167,?,3,2,?
R_data_frame,3,4,weka.classifiers.trees.LMT,'-I -1 -M 15 -W 0.0',-1113212459618104943,20211023.1505,2421,269,269,0,0,100,0,0,1,0.014999,0.045372,4.079352,10.582875,525.12898,12.6374,512.491581,1.952152,0.046979,1.905173,512.491581,1.905173,97.593467,1,39,0,0,1,230,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,3.755,0,3.734375,0,3734.375,0,9239,207181,24261,100,29.36803,?,3,2,?
R_data_frame,3,5,weka.classifiers.trees.LMT,'-I -1 -M 15 -W 0.0',-1113212459618104943,20211023.1505,2421,269,269,0,0,100,0,0,1,0.004935,0.017745,1.342061,4.13899,525.12898,3.963062,521.165919,1.952152,0.014733,1.93742,521.165919,1.93742,99.245317,1,39,0,0,1,230,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,3.65,0,3.65625,0,3656.25,0,11412,207181,24261,100,26.208178,?,5,3,?
R_data_frame,3,6,weka.classifiers.trees.LMT,'-I -1 -M 15 -W 0.0',-1113212459618104943,20211023.1505,2421,269,269,0,0,100,0,0,1,0.009589,0.024369,2.60796,5.684051,525.12898,7.692347,517.436634,1.952152,0.028596,1.923556,517.436634,1.923556,98.535151,1,39,0,0,1,230,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,3.654,0,3.640625,0,3640.625,0,9239,207181,24261,100,27.60223,?,3,2,?
R_data_frame,3,7,weka.classifiers.trees.LMT,'-I -1 -M 15 -W 0.0',-1113212459618104943,20211023.1505,2421,269,269,0,0,100,0,0,1,0.012076,0.039639,3.284237,9.245769,525.12898,10.127252,515.001728,1.952152,0.037648,1.914505,515.001728,1.914505,98.071473,1,39,0,0,1,230,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,3.558,0,3.5625,0,3562.5,0,9239,207181,24261,100,28.066914,?,3,2,?
R_data_frame,3,8,weka.classifiers.trees.LMT,'-I -1 -M 15 -W 0.0',-1113212459618104943,20211023.1505,2421,269,267,2,0,99.256506,0.743494,0,0.989888,0.016541,0.06172,4.498682,14.396088,525.12898,15.045516,510.083464,1.952152,0.055931,1.896221,510.083464,1.896221,97.134891,1,39,0,0,1,230,0,0,1,1,1,1,1,1,0.992565,0.002982,0.997018,0.007435,0.992753,0.992565,0.992564,0.989649,0.999961,0.999906,0.993548,0.992565,3.5,0.001,3.5,0,3500,0,9239,207181,24261,100,28.810409,?,3,2,?
R_data_frame,3,9,weka.classifiers.trees.LMT,'-I -1 -M 15 -W 0.0',-1113212459618104943,20211023.1505,2421,269,267,2,0,99.256506,0.743494,0,0.989908,0.013637,0.062819,3.706663,14.64248,526.065321,43.488359,482.576962,1.955633,0.161667,1.793966,513.322163,1.908261,97.577647,1,40,0.004367,1,0.995633,228,0,0,0.97561,1,0.987654,0.985571,0.998253,0.987826,0.992565,0.00214,0.99786,0.007435,0.992703,0.992565,0.992575,0.990093,0.997186,0.995795,0.991987,0.992565,3.697,0,3.671875,0,3671.875,0,9239,207181,24261,99.628253,27.60223,?,3,2,?
R_data_frame,3,10,weka.classifiers.trees.LMT,'-I -1 -M 15 -W 0.0',-1113212459618104943,20211023.1505,2421,269,269,0,0,100,0,0,1,0.000129,0.001509,0.035053,0.351828,526.121817,0.101001,526.020817,1.955843,0.000375,1.955468,526.020817,1.955468,99.980803,1,40,0,0,1,229,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,3.507,0,3.46875,0,3468.75,0,15708,207181,24261,100,25,?,9,5,?
R_data_frame,4,1,weka.classifiers.trees.LMT,'-I -1 -M 15 -W 0.0',-1113212459618104943,20211023.1505,2421,269,268,1,0,99.628253,0.371747,0,0.994951,0.002064,0.043246,0.560969,10.080211,526.065321,265.865618,260.199702,1.955633,0.988348,0.967285,523.619944,1.946543,99.535157,1,40,0,0,1,229,0,0,1,1,1,1,1,1,0.996283,0.001491,0.998509,0.003717,0.99633,0.996283,0.996283,0.994802,0.995346,0.987224,0.996774,0.996283,3.931,0.001,3.890625,0,3890.625,0,15758,207181,24261,99.628253,25.092937,?,9,5,?
R_data_frame,4,2,weka.classifiers.trees.LMT,'-I -1 -M 15 -W 0.0',-1113212459618104943,20211023.1505,2421,269,268,1,0,99.628253,0.371747,0,0.994951,0.001996,0.043152,0.542513,10.057693,526.121817,67.671952,458.449865,1.955843,0.251569,1.704275,523.72258,1.946924,99.543977,1,40,0,0,1,229,0,0,1,1,1,1,1,1,0.996283,0.001491,0.998509,0.003717,0.99633,0.996283,0.996282,0.994815,0.995789,0.987831,0.996753,0.996283,3.288,0,3.234375,0,3234.375,0,15758,207181,24261,99.628253,25,?,9,5,?
R_data_frame,4,3,weka.classifiers.trees.LMT,'-I -1 -M 15 -W 0.0',-1113212459618104943,20211023.1506,2421,269,269,0,0,100,0,0,1,0.014681,0.044507,3.99294,10.381052,525.12898,12.338948,512.790032,1.952152,0.04587,1.906283,512.790032,1.906283,97.650301,1,39,0,0,1,230,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,3.671,0,3.640625,0,3640.625,0,9239,207181,24261,100,28.996283,?,3,2,?
R_data_frame,4,4,weka.classifiers.trees.LMT,'-I -1 -M 15 -W 0.0',-1113212459618104943,20211023.1506,2421,269,268,1,0,99.628253,0.371747,0,0.994944,0.015609,0.056095,4.245297,13.084073,525.12898,13.982067,511.146913,1.952152,0.051978,1.900174,511.163903,1.900238,97.340639,1,39,0,0,1,230,0,0,1,1,1,1,1,1,0.996283,0.001491,0.998509,0.003717,0.99633,0.996283,0.996283,0.994802,0.999942,0.999857,0.996774,0.996283,4.169,0.001,4.09375,0,4093.75,0,9239,207181,24261,100,28.717472,?,3,2,?
R_data_frame,4,5,weka.classifiers.trees.LMT,'-I -1 -M 15 -W 0.0',-1113212459618104943,20211023.1506,2421,269,269,0,0,100,0,0,1,0.003319,0.029394,0.90276,6.856189,525.12898,3.056635,522.072345,1.952152,0.011363,1.940789,522.072345,1.940789,99.417927,1,39,0,0,1,230,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,3.694,0,3.6875,0,3687.5,0,13585,207181,24261,100,25.464684,?,7,4,?
